sched,Tb_ms,td_ms,A_scale,tag,Wact_J,EPE_J,eta,Fn_peak_N,Fn_norm,dz_apex_m,dFdz_Npm,dFdz_dwell_Npm,impulse_Ns,G,HJ,sink_cm,base_Wact_J,base_eta,base_dz_apex_m,base_Fn_peak_N,base_Fn_norm,base_G,base_HJ,dz_gain_pct,eta_gain_pct,Fn_change_pct,E_rel_err_pct,G_change_pct,HJ_change_pct
BB,30,,1.0,disc_bb_Tb30,3.467265,1.017083,0.293339,45.113881,11.496912,0.259195,2104.434678,0.0,1.518819,29.703256,0.074755,1.836256,3.467265,0.293339,0.259195,45.113881,11.496912,29.703256,0.074755,0.0,0.0,0.0,0.0,0.0,0.0
DB,30,0.0,1.0,disc_db_td0_Tb30_A1.00,3.479832,0.998991,0.28708,44.356096,11.303796,0.254585,2098.458006,0.0,1.525024,29.085509,0.07316,3.528965,3.467265,0.293339,0.259195,45.113881,11.496912,29.703256,0.074755,-1.7785836918150437,-2.1337087806258337,-1.6797158284830302,0.36244705841636615,-2.079728229120745,-2.1336365460504303
DB,30,20.0,1.18,disc_db_td20_Tb30_A1.18,3.472264,1.027521,0.295922,31.763222,8.094603,0.261855,1850.048067,2432.24953,1.605714,19.781372,0.075413,3.162405,3.467265,0.293339,0.259195,45.113881,11.496912,29.703256,0.074755,1.0262543644746216,0.8805511711705576,-29.59323982789244,0.14417703867458062,-33.4033548375976,0.8802086816935214
DB,30,40.0,1.31,disc_db_td40_Tb30_A1.31,3.435116,0.815946,0.237531,23.900885,6.090949,0.207937,1563.364753,2039.47205,1.53168,15.604361,0.060533,2.96153,3.467265,0.293339,0.259195,45.113881,11.496912,29.703256,0.074755,-19.7758444414437,-19.025087015364484,-47.02099560000169,-0.927214966263034,-47.46582327540118,-19.024814393686047
BB,45,,1.0,disc_bb_Tb45,2.510246,0.912615,0.363556,34.28439,8.737102,0.232573,1933.779989,0.0,1.479774,23.168672,0.092649,3.258365,2.510246,0.363556,0.232573,34.28439,8.737102,23.168672,0.092649,0.0,0.0,0.0,0.0,0.0,0.0
DB,45,0.0,1.0,disc_db_td0_Tb45_A1.00,2.504444,0.905096,0.361396,34.181803,8.710959,0.230657,1925.376161,0.0,1.478815,23.114316,0.092099,3.268243,2.510246,0.363556,0.232573,34.28439,8.737102,23.168672,0.092649,-0.8238273574318605,-0.5941313030179657,-0.2992236408464603,-0.23113272563725168,-0.23460990772367993,-0.5936383555138155
DB,45,20.0,1.23,disc_db_td20_Tb45_A1.23,2.519939,0.871381,0.345795,26.268569,6.694335,0.222065,1770.761418,2462.778802,1.483495,17.707214,0.088123,2.908021,2.510246,0.363556,0.232573,34.28439,8.737102,23.168672,0.092649,-4.518151290132556,-4.8853546633806,-23.380380983882176,0.38613745425746926,-23.572598377671365,-4.885103994646449
DB,45,40.0,1.39,disc_db_td40_Tb45_A1.39,2.522455,0.695999,0.275921,21.655544,5.518742,0.17737,1379.110001,2104.544057,1.421425,15.235097,0.070316,2.864273,2.510246,0.363556,0.232573,34.28439,8.737102,23.168672,0.092649,-23.73577328408715,-24.10495219443496,-36.835556940053486,0.48636667481991464,-34.2426833959236,-24.104955261254833
BB,60,,1.0,disc_bb_Tb60,1.875685,0.801322,0.427215,26.69143,6.802097,0.20421,1750.27564,0.0,1.406222,18.980953,0.108872,2.978882,1.875685,0.427215,0.20421,26.69143,6.802097,18.980953,0.108872,0.0,0.0,0.0,0.0,0.0,0.0
DB,60,0.0,1.0,disc_db_td0_Tb60_A1.00,1.87713,0.801387,0.426922,26.850943,6.842748,0.204227,1747.845903,0.0,1.407805,19.072918,0.108798,2.970436,1.875685,0.427215,0.20421,26.69143,6.802097,18.980953,0.108872,0.008324763723612578,-0.06858373418536047,0.5976187862546161,0.07703852192665178,0.4845120263455784,-0.06796972591666428
DB,60,20.0,1.33,disc_db_td20_Tb60_A1.33,1.869245,0.705334,0.377336,27.625071,7.040028,0.179749,1618.523826,2534.155985,1.360823,20.300273,0.096161,2.762007,1.875685,0.427215,0.20421,26.69143,6.802097,18.980953,0.108872,-11.9783556143186,-11.675385929801156,3.497905507498092,-0.34334123266966476,6.9507574250882,-11.67517819090308
DB,60,40.0,1.49,disc_db_td40_Tb60_A1.49,1.864762,0.611346,0.327841,22.323091,5.688861,0.155797,1783.229868,2152.452517,1.332698,16.750294,0.083548,2.748663,1.875685,0.427215,0.20421,26.69143,6.802097,18.980953,0.108872,-23.7074580089124,-23.260887375209208,-16.366073305176975,-0.5823472491383156,-11.752091688968406,-23.26034242045705
BB,90,,1.0,disc_bb_Tb90,0.932768,0.543192,0.582344,17.845455,4.547771,0.138428,1441.763265,0.0,1.217308,14.659775,0.148406,2.598933,0.932768,0.582344,0.138428,17.845455,4.547771,14.659775,0.148406,0.0,0.0,0.0,0.0,0.0,0.0
DB,90,0.0,1.0,disc_db_td0_Tb90_A1.00,0.93199,0.542531,0.582121,17.494233,4.458265,0.13826,1429.862395,0.0,1.216659,14.37891,0.148349,2.603589,0.932768,0.582344,0.138428,17.845455,4.547771,14.659775,0.148406,-0.12136273008351019,-0.03829351723379536,-1.9681313813517218,-0.08340766407081465,-1.9158888864256127,-0.038408150613857585
DB,90,20.0,1.38,disc_db_td20_Tb90_A1.38,0.928741,0.474722,0.511146,28.701145,7.314257,0.120979,792.765381,2575.985592,1.04977,27.340402,0.130262,2.736899,0.932768,0.582344,0.138428,17.845455,4.547771,14.659775,0.148406,-12.605108793018749,-12.226106905883805,60.83167955089965,-0.431725788191705,86.49946537378645,-12.22592078487394
DB,90,40.0,1.29,disc_db_td40_Tb90_A1.29,0.924329,0.395564,0.427947,20.645721,5.261397,0.100806,1234.903713,1999.01826,1.018784,20.265069,0.109059,2.672561,0.932768,0.582344,0.138428,17.845455,4.547771,14.659775,0.148406,-27.178027566677255,-26.513023230255648,15.691760170867036,-0.9047265772410809,38.23588015505014,-26.513078986024826
