tag,sched,tau_d_ms,Tb_ms,A_scale,Wact_J,eta,apex_m,impulse_Ns,Fn_peak_N,dFdz_Npm,sink_cm,base_tag,base_W_J,base_eta,base_apex_m,base_Fn_N,dz_gain_pct,eta_gain_pct,Fn_change_pct,dFdz_change_pct,E_rel_err_pct,Fn_norm,base_Fn_norm,G,base_G,HJ,base_HJ
disc_bb_Tb30,BB,0,30,1.0,3.46726,0.293339,0.259195,1.51882,45.1139,2104.43,1.83626,disc_bb_Tb30,3.46726,0.293339,0.259195,45.1139,0,0,0,0,0,11.4969,11.4969,29.7033,29.7033,0.074755,0.074755
disc_db_td0_Tb30_A1.00,DB,0,30,1,3.47983,0.28708,0.254585,1.52502,44.3561,2098.46,3.52896,disc_bb_Tb30,3.46726,0.293339,0.259195,45.1139,-1.77883,-2.13355,-1.67972,-0.284004,0.362459,11.3038,11.4969,29.0855,29.7033,0.0731601,0.074755
disc_db_td20_Tb30_A1.18,DB,20,30,1.175,3.47226,0.295922,0.261855,1.60571,31.7632,1850.05,3.1624,disc_bb_Tb30,3.46726,0.293339,0.259195,45.1139,1.02623,0.880783,-29.5932,-12.0881,0.144178,8.0946,11.4969,19.7814,29.7033,0.0754135,0.074755
disc_db_td40_Tb30_A1.31,DB,40,30,1.30719,3.43512,0.237531,0.207937,1.53168,23.9009,1563.36,2.96153,disc_bb_Tb30,3.46726,0.293339,0.259195,45.1139,-19.7759,-19.0251,-47.021,-25.7109,0.927214,6.09095,11.4969,15.6044,29.7033,0.0605328,0.074755
disc_bb_Tb45,BB,0,45,1.0,2.51025,0.363556,0.232573,1.47977,34.2844,1933.78,3.25837,disc_bb_Tb45,2.51025,0.363556,0.232573,34.2844,0,0,0,0,0,8.7371,8.7371,23.1687,23.1687,0.0926493,0.0926493
disc_db_td0_Tb45_A1.00,DB,0,45,1,2.50444,0.361396,0.230657,1.47882,34.1818,1925.38,3.26824,disc_bb_Tb45,2.51025,0.363556,0.232573,34.2844,-0.823866,-0.594084,-0.299221,-0.43458,0.231155,8.71096,8.7371,23.1143,23.1687,0.0920989,0.0926493
disc_db_td20_Tb45_A1.23,DB,20,45,1.225,2.51994,0.345795,0.222065,1.4835,26.2686,1770.76,2.90802,disc_bb_Tb45,2.51025,0.363556,0.232573,34.2844,-4.51817,-4.88545,-23.3804,-8.43005,0.386138,6.69433,8.7371,17.7072,23.1687,0.088123,0.0926493
disc_db_td40_Tb45_A1.39,DB,40,45,1.39344,2.52245,0.275921,0.17737,1.42142,21.6555,1379.11,2.86427,disc_bb_Tb45,2.51025,0.363556,0.232573,34.2844,-23.7357,-24.1048,-36.8356,-28.6832,0.486342,5.51874,8.7371,15.2351,23.1687,0.0703164,0.0926493
disc_bb_Tb60,BB,0,60,1.0,1.87569,0.427215,0.20421,1.40622,26.6914,1750.28,2.97888,disc_bb_Tb60,1.87569,0.427215,0.20421,26.6914,0,0,0,0,0,6.8021,6.8021,18.981,18.981,0.108872,0.108872
disc_db_td0_Tb60_A1.00,DB,0,60,1,1.87713,0.426922,0.204227,1.4078,26.8509,1747.85,2.97044,disc_bb_Tb60,1.87569,0.427215,0.20421,26.6914,0.00814941,-0.0688078,0.59762,-0.13882,0.0770102,6.84275,6.8021,19.0729,18.981,0.108798,0.108872
disc_db_td20_Tb60_A1.33,DB,20,60,1.325,1.86924,0.377336,0.179749,1.36082,27.6251,1618.52,2.76201,disc_bb_Tb60,1.87569,0.427215,0.20421,26.6914,-11.9787,-11.6754,3.4979,-7.52749,0.343376,7.04003,6.8021,20.3003,18.981,0.0961611,0.108872
disc_db_td40_Tb60_A1.49,DB,40,60,1.49063,1.86476,0.327841,0.155797,1.3327,22.3231,1783.23,2.74866,disc_bb_Tb60,1.87569,0.427215,0.20421,26.6914,-23.7079,-23.2609,-16.3661,1.8828,0.582372,5.68886,6.8021,16.7503,18.981,0.0835477,0.108872
disc_bb_Tb90,BB,0,90,1.0,0.932768,0.582344,0.138428,1.21731,17.8455,1441.76,2.59893,disc_bb_Tb90,0.932768,0.582344,0.138428,17.8455,0,0,0,0,0,4.54777,4.54777,14.6598,14.6598,0.148406,0.148406
disc_db_td0_Tb90_A1.00,DB,0,90,1,0.93199,0.582121,0.13826,1.21666,17.4942,1429.86,2.60359,disc_bb_Tb90,0.932768,0.582344,0.138428,17.8455,-0.121722,-0.0383601,-1.96813,-0.825439,0.0833944,4.45827,4.54777,14.3789,14.6598,0.148349,0.148406
disc_db_td20_Tb90_A1.38,DB,20,90,1.375,0.928741,0.511146,0.120979,1.04977,28.7011,792.765,2.7369,disc_bb_Tb90,0.932768,0.582344,0.138428,17.8455,-12.605,-12.2261,60.8317,-45.0142,0.431725,7.31426,4.54777,27.3404,14.6598,0.130262,0.148406
disc_db_td40_Tb90_A1.29,DB,40,90,1.28672,0.924329,0.427947,0.100806,1.01878,20.6457,1234.9,2.67256,disc_bb_Tb90,0.932768,0.582344,0.138428,17.8455,-27.1778,-26.513,15.6918,-14.3477,0.904676,5.2614,4.54777,20.2651,14.6598,0.109059,0.148406
